vz,time,ax,ay,vx,comp,az,vy
13.861,34.582727909088135,0.127,0.007,23.335,-75.51790019303384,0.886,2.828
-9.659,34.584954500198364,0.104,0.152,2.685,-78.06970917052993,0.966,-5.572
-9.624,34.585427045822144,0.133,0.191,5.03,-78.06970917052993,0.949,-4.837
-8.574,34.58573317527771,0.108,0.197,4.26,-78.06970917052993,0.993,-5.642
-9.029,34.58601379394531,0.071,0.097,4.05,-78.06970917052993,0.908,-5.292
-7.664,34.58626866340637,0.112,0.22,7.97,-78.06970917052993,0.983,-5.817
-6.474,34.5865159034729,0.122,0.177,6.08,-77.85151565072397,1.03,-8.862
-5.319,34.586774587631226,0.103,0.165,6.955,-77.55453577656921,0.985,-7.427
-3.639,34.58702278137207,0.102,0.181,8.25,-77.55453577656921,0.979,-8.197
-2.309,34.587263107299805,0.115,0.168,8.11,-77.55453577656921,0.989,-7.952
-0.874,34.587498903274536,0.093,0.166,8.705,-77.55453577656921,0.997,-6.727
-0.314,35.12645244598389,0.073,0.171,6.955,-77.55453577656921,1.007,-6.447
10.711,35.12894535064697,0.141,0.154,-0.36,-78.93894943234089,0.974,0.063
10.151,35.12941122055054,0.135,0.163,-1.795,-78.93894943234089,0.984,0.203
9.416,35.1297607421875,0.143,0.153,-2.215,-78.93894943234089,0.996,0.413
8.786,35.13007068634033,0.16,0.145,-3.58,-78.93894943234089,1.018,0.518
8.296,35.13038206100464,0.131,0.162,-3.72,-78.93894943234089,1.047,2.023
7.491,35.130682945251465,0.141,0.148,-3.23,-78.93894943234089,0.99,3.073
6.861,35.13097405433655,0.129,0.157,-2.495,-78.93894943234089,0.977,3.633
6.546,35.13125944137573,0.14,0.158,-0.395,-78.93894943234089,0.955,3.773
6.616,35.13153862953186,0.159,0.149,0.83,-78.93894943234089,0.951,3.073
7.071,35.13182234764099,0.174,0.189,1.285,-78.93894943234089,1.017,2.338
7.036,35.13209891319275,0.155,0.162,1.32,-79.54196084760905,1.002,0.763
8.121,35.62767553329468,0.153,0.15,0.305,-79.54196084760905,0.974,2.268
-10.534,35.629801750183105,0.06,0.006,-1.06,-79.68736560420389,0.983,-1.652
-10.009,35.630244970321655,0.097,-0.005,-5.015,-79.68736560420389,0.967,1.078
-9.939,35.630555629730225,0.048,-0.033,-8.27,-79.68736560420389,1.055,-0.322
-8.924,35.63083863258362,0.057,0.039,-11.35,-79.68736560420389,0.999,-0.952
-8.224,35.63111639022827,0.03,0.088,-14.15,-79.68736560420389,1.012,0.063
-8.679,35.631388425827026,0.066,0.102,-17.545,-79.68736560420389,0.936,-2.597
-9.764,35.631675243377686,0.04,0.164,-19.995,-79.68736560420389,0.939,-4.137
-9.974,35.631943702697754,0.092,0.121,-19.75,-79.68736560420389,0.977,-5.082
-10.639,35.63221549987793,0.09,0.125,-14.29,-79.97586005810068,0.962,-5.747
-9.834,35.63249492645264,0.045,0.156,-11.455,-79.97586005810068,0.956,-6.482
-8.119,36.12562036514282,0.071,0.191,-12.295,-79.97586005810068,1.044,-5.992
-2.694,36.1279993057251,0.124,-0.02,-14.395,-78.36994382473391,0.967,-3.297
-4.339,36.128554344177246,0.11,-0.033,-12.225,-78.36994382473391,0.991,-2.702
-4.374,36.12890386581421,0.059,-0.014,-13.695,-78.36994382473391,1.124,-2.632
-3.534,36.129175424575806,0.187,-0.097,-18.875,-78.36994382473391,0.989,-2.527
-4.304,36.12943911552429,0.135,-0.016,-17.44,-78.36994382473391,0.919,-3.927
-4.234,36.12970423698425,0.174,-0.001,-14.64,-78.36994382473391,1.035,-6.132
-4.514,36.129963397979736,0.13,-0.017,-12.295,-78.36994382473391,0.979,-7.497
-4.269,36.13021397590637,0.123,-0.057,-12.295,-78.36994382473391,1.019,-9.282
-3.324,36.13046360015869,0.149,-0.041,-12.26,-78.36994382473391,0.972,-11.522
-2.379,36.13076186180115,0.146,-0.041,-14.605,-78.36994382473391,0.999,-10.682
-1.119,36.13104224205017,0.154,-0.047,-20.59,-78.82938829580016,1.017,-7.602
-1.049,36.13134789466858,0.168,-0.043,-19.47,-78.82938829580016,1.037,-7.602
-1.294,36.131701946258545,0.166,-0.025,-18.875,-78.82938829580016,1.046,-8.302
-0.279,36.64425230026245,0.156,-0.054,-15.375,-78.82938829580016,1.043,-8.757
-5.669,36.64641547203064,0.158,-0.094,-8.445,-80.0097850350596,0.987,-5.467
-6.019,36.646806478500366,0.155,-0.115,-8.41,-80.0097850350596,0.972,-5.432
-6.474,36.64708614349365,0.125,-0.115,-7.08,-80.0097850350596,0.996,-4.312
-6.579,36.647350549697876,0.16,-0.079,-6.135,-80.0097850350596,1.021,-2.982
-6.229,36.647684812545776,0.143,-0.083,-3.475,-80.0097850350596,1.043,-0.497
-5.739,36.64801645278931,0.161,-0.078,-2.425,-80.0097850350596,1.028,1.323
-4.304,36.64835858345032,0.153,-0.084,-1.025,-80.43029866512892,0.946,2.128
-3.009,36.64869284629822,0.184,-0.062,2.16,-80.43029866512892,0.954,2.093
-3.639,36.64901661872864,0.116,-0.055,2.685,-80.43029866512892,0.941,-0.532
-3.359,36.649333000183105,0.237,-0.114,-1.34,-80.43029866512892,0.972,-2.457
-3.254,37.17344355583191,0.175,-0.121,-4.49,-80.43029866512892,1.022,-1.372
-4.899,37.173956632614136,0.119,-0.094,2.44,-79.62764086077529,1.05,0.553
-3.289,37.17581295967102,0.138,-0.119,1.95,-79.5854070947371,1.043,-0.392
-1.574,37.17612290382385,0.136,-0.093,0.13,-78.45387756211878,1.01,-0.462
-1.574,37.17642092704773,0.152,-0.117,0.13,-78.45387756211878,1.01,-0.462
0.106,37.17675542831421,0.157,-0.085,1.285,-78.45387756211878,1.031,-1.302
0.351,37.17715501785278,0.15,-0.086,0.48,-78.45387756211878,0.972,-3.962
2.206,37.177518129348755,0.153,-0.074,4.575,-78.45387756211878,0.954,-4.837
4.201,37.17788314819336,0.131,-0.105,7.095,-78.45387756211878,0.98,-4.627
6.406,37.17818236351013,0.141,-0.094,7.025,-78.45387756211878,0.941,-3.542
6.406,37.17841339111328,0.122,-0.094,7.025,-78.45387756211878,0.941,-3.542
8.051,37.17862367630005,0.169,-0.109,9.615,-78.45387756211878,0.96,-0.217
8.926,37.179306507110596,0.173,-0.068,11.015,-78.45387756211878,0.932,0.308
10.081,37.680710554122925,0.192,-0.102,14.2,-79.61377433524963,0.993,0.833
-24.744,37.68148231506348,-0.13,0.245,11.435,-76.93669725075361,0.748,15.778
-22.749,37.683605432510376,-0.162,0.133,3.21,-76.93669725075361,0.757,26.663
-18.059,37.68392086029053,-0.139,0.284,9.93,-76.93669725075361,1.292,25.998
-14.804,37.68422341346741,-0.204,0.231,6.395,-76.93669725075361,1.074,14.728
-13.929,37.684500217437744,-0.255,0.141,2.335,-76.93669725075361,0.955,8.603
-12.564,37.68478965759277,-0.227,0.171,-5.645,-76.93669725075361,0.859,7.133
-9.029,37.68507194519043,-0.065,0.19,-9.46,-76.93669725075361,1.055,1.708
-1.994,37.68534874916077,-0.135,0.247,-6.555,-76.93669725075361,1.018,-5.502
7.526,37.68561625480652,-0.198,0.187,1.32,-76.93669725075361,0.868,-1.127
13.476,37.68591618537903,-0.047,0.309,10.875,-76.09680267233324,1.11,-0.392
20.371,37.686248779296875,-0.007,0.213,12.94,-76.09680267233324,1.077,-3.577
24.781,38.23182392120361,-0.005,0.129,11.155,-76.09680267233324,0.999,-5.747
-3.744,38.234454870224,0.118,0.203,9.16,-78.16096586924667,1.02,-7.672
-5.179,38.23503589630127,0.057,0.192,9.37,-78.16096586924667,0.996,-7.917
-5.319,38.23533058166504,0.074,0.19,10.0,-78.16096586924667,1.044,-10.717
-5.459,38.23556351661682,0.078,0.196,8.11,-78.16096586924667,1.011,-10.227
-5.914,38.23579525947571,0.081,0.172,10.77,-78.16096586924667,1.049,-11.627
-6.719,38.2360143661499,0.097,0.19,8.53,-77.68254397293984,1.032,-10.787
-5.774,38.23624873161316,0.097,0.198,12.065,-77.68254397293984,0.968,-9.702
-4.934,38.23646593093872,0.122,0.176,10.07,-77.68254397293984,0.93,-10.262
-4.164,38.2366828918457,0.084,0.175,11.61,-77.68254397293984,0.977,-7.847
-3.324,38.23696446418762,0.137,0.168,15.32,-77.68254397293984,0.959,-7.917
-2.239,38.24074172973633,0.15,0.154,14.305,-77.68254397293984,0.968,-8.477
-1.364,38.72996687889099,0.072,0.24,14.62,-77.68254397293984,1.043,-7.077
3.816,38.732101917266846,0.14,0.132,-1.34,-79.47649843171546,0.942,-0.392
3.396,38.73245668411255,0.163,0.156,-2.39,-79.47649843171546,0.994,1.533
3.536,38.73272943496704,0.176,0.103,-2.915,-79.47649843171546,0.996,2.688
5.391,38.732993364334106,0.191,0.151,-1.34,-79.47649843171546,1.024,4.263
7.806,38.7332489490509,0.15,0.137,-1.165,-79.47649843171546,1.017,1.288
7.806,38.733521938323975,0.197,0.126,-1.165,-79.47649843171546,1.017,1.288
10.991,38.733786821365356,0.187,0.132,-0.29,-79.56709905263993,1.049,-2.982
12.881,38.7340521812439,0.162,0.142,1.845,-79.56709905263993,1.013,-4.417
13.616,38.73430418968201,0.196,0.125,1.18,-79.56709905263993,0.996,-4.557
14.001,38.73454546928406,0.182,0.152,0.55,-79.56709905263993,0.964,-4.032
13.826,39.278422355651855,0.198,0.153,1.145,-79.56709905263993,0.994,-3.332
4.166,39.28072929382324,-0.012,0.022,1.145,-80.18378434984601,1.009,6.573
0.316,39.28120946884155,-0.049,-0.033,-2.635,-80.18378434984601,1.019,6.818
-3.009,39.28154397010803,-0.004,-0.006,-0.57,-80.18378434984601,0.965,6.748
-5.634,39.28187108039856,0.001,-0.007,0.725,-80.18378434984601,0.988,5.558
-8.259,39.282187700271606,0.037,-0.019,-0.92,-80.18378434984601,1.024,4.578
-9.869,39.282492876052856,0.042,-0.031,-0.57,-80.18378434984601,1.036,0.098
-9.834,39.282771587371826,0.081,-0.045,-1.445,-80.18378434984601,1.009,-1.617
-9.204,39.283010721206665,0.066,0.017,-4.14,-81.61205178455675,0.972,-3.927
-8.084,39.28332185745239,0.067,0.018,-12.12,-81.61205178455675,0.97,-5.537
-6.579,39.28355932235718,0.061,0.016,-18.455,-81.61205178455675,0.962,-7.707
-6.334,39.28704833984375,0.069,0.064,-20.31,-81.61205178455675,1.022,-6.902
-5.704,39.77072262763977,0.081,0.057,-16.74,-81.61205178455675,1.076,-8.232
-2.729,39.77315616607666,0.102,-0.017,-16.915,-78.87957118719285,0.97,-0.392
-5.074,39.773579359054565,0.098,-0.007,-14.255,-78.87957118719285,1.014,-1.792
-7.174,39.77380657196045,0.144,0.002,-11.28,-78.87957118719285,1.021,-4.872
-8.749,39.77401375770569,0.129,-0.052,-8.06,-78.87957118719285,1.003,-7.217
-9.449,39.774219036102295,0.114,-0.008,-9.075,-78.87957118719285,0.989,-7.567
-9.449,39.77441596984863,0.119,-0.019,-12.435,-78.87957118719285,0.987,-6.412
-9.204,39.7746217250824,0.115,-0.026,-15.025,-78.88634414458812,1.013,-5.922
-8.714,39.77482223510742,0.142,-0.008,-16.285,-79.21405763946942,1.031,-4.382
-8.469,39.775015115737915,0.126,-0.022,-14.885,-79.21405763946942,1.073,-3.962
-7.174,39.775227069854736,0.122,-0.023,-10.3,-79.21405763946942,1.058,-4.627
-5.424,39.77543926239014,0.116,-0.041,-9.39,-79.21405763946942,1.053,-5.397
-2.939,40.262022256851196,0.1,-0.024,-11.315,-79.21405763946942,0.961,-4.802
0.806,40.26401710510254,0.112,-0.106,6.29,-79.50719201341866,0.984,-0.287
1.051,40.26433825492859,0.121,-0.131,-1.725,-79.50719201341866,0.958,0.308
1.401,40.264578342437744,0.149,-0.111,-2.46,-79.50719201341866,0.993,0.483
1.366,40.264800786972046,0.126,-0.138,-1.13,-79.50719201341866,1.014,-0.042
0.631,40.26502013206482,0.143,-0.103,-1.095,-79.50719201341866,1.0,-0.777
0.456,40.265233516693115,0.141,-0.133,-2.705,-79.50719201341866,0.977,-0.882
0.001,40.26544642448425,0.14,-0.105,-2.355,-79.50719201341866,0.991,-1.022
-1.259,40.265658378601074,0.156,-0.152,-3.86,-79.50719201341866,1.014,-1.302
-3.499,40.26586866378784,0.172,-0.137,-6.205,-80.50208298633635,1.048,-2.737
-4.654,40.26608443260193,0.174,-0.106,-7.36,-80.50208298633635,0.945,-2.072
-6.404,40.768882274627686,0.165,-0.134,-8.83,-80.50208298633635,0.962,-3.507
-6.649,40.77136301994324,0.117,-0.114,5.415,-79.73388106380217,1.014,-0.952
-7.944,40.77194428443909,0.106,-0.133,2.86,-79.73388106380217,1.012,-3.192
-8.539,40.77222728729248,0.085,-0.108,1.425,-79.73388106380217,0.978,-3.612
-8.924,40.77247333526611,0.101,-0.097,0.55,-79.73388106380217,0.998,-2.632
-8.854,40.772730350494385,0.089,-0.113,0.13,-79.96881071447946,1.014,-2.037
-8.889,40.77304697036743,0.089,-0.105,-1.725,-79.96881071447946,0.947,-1.302
-8.224,40.77335858345032,0.115,-0.121,-0.85,-79.96881071447946,0.98,-0.742
-7.944,40.77362370491028,0.141,-0.108,-2.915,-79.96881071447946,0.985,-0.917
-7.419,40.77389883995056,0.143,-0.074,-2.46,-79.96881071447946,0.968,-0.777
-6.964,40.774173974990845,0.157,-0.089,-3.16,-79.96881071447946,1.013,-0.602
-5.529,40.77735710144043,0.176,-0.107,-1.725,-79.96881071447946,1.006,-0.287
-5.529,41.29856562614441,0.222,-0.11,-1.725,-79.96881071447946,1.013,-0.287
-34.089,41.30052304267883,0.171,-0.03,27.325,-78.88386744240825,0.955,40.768
-36.714,41.30087971687317,0.184,0.003,28.97,-78.88386744240825,0.954,36.603
-42.279,41.30118155479431,-0.005,0.137,-4.595,-75.95091378434036,1.045,-1.652
-41.579,41.30151104927063,-0.05,0.112,-5.225,-75.95091378434036,0.944,-3.367
-38.289,41.301801919937134,-0.14,-0.008,-12.61,-75.95091378434036,1.098,-0.042
-27.824,41.30207586288452,-0.067,0.16,-5.47,-75.95091378434036,0.978,8.953
-21.419,41.302292346954346,-0.203,0.027,-8.515,-75.95091378434036,1.07,18.648
-15.154,41.30252265930176,-0.11,0.109,3.175,-75.95091378434036,1.134,21.693
-8.574,41.30273151397705,-0.176,0.145,7.585,-75.95091378434036,1.196,19.628
-5.844,41.30293893814087,-0.265,0.199,6.01,-75.95091378434036,1.047,16.758
0.526,41.30314493179321,-0.293,0.231,9.3,-75.95091378434036,0.925,13.678
5.181,41.30335187911987,-0.177,0.187,2.755,-76.3610738151553,1.076,6.398
13.546,41.80974364280701,-0.206,0.191,-1.06,-76.3610738151553,0.995,-7.427
4.796,41.81028985977173,0.104,0.063,9.755,-77.19810829878769,1.095,-10.437
3.816,41.812265396118164,0.105,0.099,8.32,-77.19810829878769,1.037,-13.552
3.186,41.81253218650818,0.097,0.158,6.85,-77.19810829878769,0.964,-11.277
1.436,41.81276059150696,0.071,0.16,6.955,-77.19810829878769,0.947,-10.542
-0.244,41.812981367111206,0.076,0.178,10.105,-77.19810829878769,1.081,-9.247
-2.414,41.8132586479187,0.103,0.129,8.32,-77.19810829878769,0.88,-8.652
-3.919,41.81349229812622,0.061,0.161,5.66,-77.19810829878769,0.877,-6.832
-4.444,41.81371355056763,0.093,0.168,3.28,-77.19810829878769,1.0,-6.307
-5.739,41.81392550468445,0.1,0.181,4.12,-77.19810829878769,1.017,-6.587
-6.299,41.814141273498535,0.126,0.195,6.745,-78.70408655665503,0.998,-4.452
-5.704,41.81435704231262,0.126,0.195,6.745,-78.70408655665503,0.998,-4.732
-5.704,41.81456971168518,0.106,0.195,5.66,-78.70408655665503,1.065,-4.907
-5.529,41.81836795806885,0.086,0.193,6.395,-78.70408655665503,1.095,-6.027
-4.444,42.36564326286316,0.093,0.234,7.2,-78.70408655665503,1.033,-6.307
8.261,42.36783790588379,0.132,0.129,2.44,-80.10567798970581,0.972,-2.457
8.366,42.368247747421265,0.145,0.1,2.895,-79.54611907091662,1.01,-2.422
9.346,42.368557929992676,0.164,0.143,3.14,-79.54611907091662,1.006,0.553
9.801,42.36885118484497,0.164,0.154,0.025,-79.54611907091662,1.029,0.343
10.501,42.36913537979126,0.164,0.13,-0.78,-79.54611907091662,1.021,0.203
10.641,42.36941123008728,0.192,0.135,-0.535,-79.54611907091662,1.024,-0.777
10.746,42.36970138549805,0.179,0.186,-2.81,-79.54611907091662,0.978,0.623
10.746,42.36999702453613,0.184,0.154,-2.81,-79.54611907091662,0.98,0.623
10.116,42.370278120040894,0.183,0.156,-3.09,-79.54611907091662,0.98,0.588
9.696,42.37061548233032,0.16,0.121,-2.705,-79.54611907091662,1.009,0.098
9.276,42.37094259262085,0.171,0.131,-2.915,-79.54611907091662,0.924,-0.077
9.206,42.90820097923279,0.15,0.164,-2.46,-78.52617644859126,0.967,-0.007
7.666,42.908745527267456,0.006,-0.001,0.375,-79.03171778368271,0.927,4.788
4.656,42.910609006881714,-0.054,0.052,-0.745,-79.03171778368271,0.937,7.623
0.421,42.91087746620178,0.023,0.02,0.795,-79.03171778368271,1.016,8.603
-2.064,42.91110825538635,0.051,0.023,-0.045,-79.03171778368271,1.009,7.413
-4.094,42.91132831573486,0.093,0.03,-1.865,-79.03171778368271,1.048,5.243
-5.494,42.91154170036316,0.088,0.002,-3.125,-79.03171778368271,1.028,2.548
-5.949,42.91175365447998,0.069,0.012,-3.125,-79.03171778368271,1.001,1.918
-6.614,42.911964654922485,0.041,0.045,-10.09,-80.27447080046508,0.94,-1.967
-8.889,42.91222167015076,0.104,-0.028,-17.265,-80.27447080046508,0.961,-6.797
-10.149,42.91244912147522,0.09,0.037,-12.715,-80.27447080046508,1.108,-6.657
-11.584,43.449175119400024,0.058,0.029,-8.585,-80.27447080046508,1.006,-3.332
-3.849,43.45129323005676,0.099,0.025,-8.235,-79.82764200350215,1.021,-6.132
-3.709,43.451637268066406,0.121,-0.015,-7.185,-79.82764200350215,1.008,-3.087
-3.709,43.45189642906189,0.13,-0.037,-6.94,-79.3095867288702,0.973,-1.267
-4.164,43.45215392112732,0.131,-0.032,-7.745,-79.3095867288702,0.958,-0.952
-4.024,43.45239782333374,0.298,0.075,-10.02,-79.3095867288702,1.037,-0.182
-4.829,43.452661752700806,0.273,-0.088,-6.275,-79.3095867288702,1.068,-3.192
-5.809,43.45296287536621,0.021,-0.071,-7.57,-79.3095867288702,1.119,-6.272
-6.544,43.45321846008301,0.138,-0.118,-7.78,-79.3095867288702,1.078,-6.097
-7.174,43.45348834991455,0.182,-0.049,-6.065,-79.3095867288702,1.011,-8.267
-6.789,43.45373582839966,0.117,-0.036,-7.64,-79.3095867288702,1.01,-8.512
-6.719,43.935158014297485,0.149,-0.09,-10.65,-79.3095867288702,1.038,-8.057
-2.064,43.937339067459106,0.167,-0.066,-1.2,-80.00327733979742,0.981,-0.147
-2.064,43.93774747848511,0.152,-0.061,-1.445,-79.49027509454174,0.982,0.378
-2.274,43.93802523612976,0.15,-0.08,-1.095,-79.49027509454174,1.026,0.343
-2.379,43.93832087516785,0.155,-0.066,-1.445,-79.49027509454174,1.021,0.518
-2.694,43.93857026100159,0.161,-0.06,-0.71,-79.49027509454174,0.979,0.623
-3.464,43.93880605697632,0.181,-0.064,-1.48,-79.49027509454174,1.004,-0.042
-3.709,43.93905520439148,0.157,-0.033,-1.97,-79.49027509454174,1.012,-0.602
-4.164,43.93927884101868,0.15,-0.08,-2.215,-79.49027509454174,0.971,0.168
-4.304,43.93950128555298,0.154,-0.034,-2.215,-79.49027509454174,0.976,-0.252
-4.479,43.93975567817688,0.157,-0.055,-2.18,-79.49027509454174,1.006,-0.532
-4.794,43.94440793991089,0.151,-0.075,-3.23,-79.98571240634418,0.979,-0.637
-5.039,44.47500038146973,0.163,-0.088,-3.16,-79.98571240634418,0.994,-0.532
8.086,44.47718143463135,0.119,-0.033,10.175,-79.0711385427495,0.972,1.288
5.391,44.47756743431091,0.097,-0.101,10.875,-79.0711385427495,0.975,2.128
2.486,44.47785663604736,0.109,-0.058,12.275,-79.0711385427495,0.97,3.983
-0.349,44.47813677787781,0.069,-0.1,13.465,-79.0711385427495,0.904,5.908
-2.869,44.478519439697266,0.107,-0.139,12.8,-79.0711385427495,0.977,4.963
-5.844,44.47887182235718,0.094,-0.151,14.095,-78.43194875082044,1.066,7.728
-7.804,44.47917819023132,0.1,-0.129,14.165,-78.43194875082044,1.028,4.823
-9.309,44.47945308685303,0.101,-0.167,14.025,-78.43194875082044,0.999,4.963
-11.794,44.47978162765503,0.095,-0.084,17.385,-78.43194875082044,0.93,3.073
-13.229,44.48010516166687,0.117,-0.038,11.47,-78.43194875082044,0.925,-2.247
-24.394,44.48554062843323,0.371,-0.832,-11.35,-78.43194875082044,1.346,-0.112
-23.169,45.03938388824463,0.166,0.093,-8.515,-78.43194875082044,1.45,-4.697
21.631,45.041473388671875,-0.159,0.214,3.735,-74.65288880540568,0.943,-4.802
24.886,45.0418016910553,-0.056,0.167,10.595,-74.65288880540568,0.998,-2.142
25.796,45.042070627212524,-0.047,0.177,17.77,-74.65288880540568,1.123,-0.042
26.356,45.042311906814575,0.076,0.174,21.025,-74.65288880540568,1.103,0.098
25.411,45.04253959655762,0.046,0.165,19.765,-74.65288880540568,1.03,0.833
23.801,45.0427610874176,0.087,0.139,10.14,-74.65288880540568,0.891,-3.402
20.231,45.0429801940918,0.045,0.113,6.78,-74.65288880540568,0.948,-4.137
15.751,45.04327344894409,0.154,0.124,6.43,-74.65288880540568,0.989,-6.727
10.291,45.04354548454285,0.132,0.117,12.94,-74.9526832456991,0.991,-6.552
4.411,45.043803691864014,0.146,0.073,18.365,-74.9526832456991,0.993,-5.432
-0.874,45.61095213890076,0.118,0.022,18.19,-74.9526832456991,0.97,-2.912
-4.794,45.61310815811157,0.111,0.165,5.975,-76.91372704194427,0.974,-0.357
-4.759,45.61344075202942,0.089,0.182,5.94,-76.91372704194427,1.002,-0.077
-3.534,45.61370277404785,0.145,0.153,6.255,-76.91372704194427,1.009,-1.652
-3.254,45.61394643783569,0.085,0.112,5.52,-76.91372704194427,1.081,-2.772
-3.289,45.61417889595032,0.118,0.191,5.555,-76.91372704194427,1.029,-2.387
-2.519,45.61441445350647,0.128,0.129,3.42,-76.91372704194427,1.05,-5.607
